wav_filename,wav_filesize,transcript
/data/speech/WSJ/csr_2/wav/47rc0206.wav,288036,mister joynes will oversee the company's operating units as well as the company's research activities and staff support services the company said
/data/speech/WSJ/csr_2/wav/49bc0410.wav,274404,in the process the suits allege assets were overstated and liabilities understated
/data/speech/WSJ/csr_2/wav/47dc0303.wav,217412,it set up a similar plant in wales in nineteen eighty five
/data/speech/WSJ/csr_2/wav/46nc041b.wav,243630,he also has served since the beginning of the year as chief operating officer that position will be eliminated next tuesday
/data/speech/WSJ/csr_1/wav/01mc020l.wav,211150,when the price gets high enough all these new reserves open up eventually knocking down prices he says
/data/speech/WSJ/csr_1/wav/401c021a.wav,277192,it is obviously ridiculous to talk about rehabilitating an uzi toting drug pusher who makes five thousand dollars a week
/data/speech/WSJ/csr_1/wav/405c0205.wav,276900,the little rock arkansas based retailer said it will use proceeds to retire debt to finance operations and for other general purposes
/data/speech/WSJ/csr_1/wav/40dc021d.wav,218218,boats full of men and women in business suits fresh from work or happy hour were not an uncommon sight
/data/speech/WSJ/csr_2/wav/49nc0311.wav,279324,but while nickel and especially copper quotes have since rebounded aluminum prices have continued to tumble
/data/speech/WSJ/csr_1/wav/01wo030z.wav,261170,the suit was filed last month only two days after a senate banking committee hearing on dual stock classes held by senators period
/data/speech/WSJ/csr_1/wav/01jc020j.wav,158912,they have put in a lot of money but is that enough
/data/speech/WSJ/csr_2/wav/48tc030p.wav,180148,jordan and djibouti did but have since restored relations
/data/speech/WSJ/csr_1/wav/028c020z.wav,231400,i hope the new president will address the trade imbalance he said adding i know what i would do if i were president
/data/speech/WSJ/csr_2/wav/49oc0308.wav,474680,organized labor a major democratic constituency has fallen on hard times as reflected in a decline in the unionized share of the u s work force
/data/speech/WSJ/csr_2/wav/47wc0319.wav,159824,the scene the annual norman mailer cocktail party and fist fight
/data/speech/WSJ/csr_2/wav/4b8c040w.wav,151038,miti isn't the only government body involved
/data/speech/WSJ/csr_1/wav/40na0110.wav,183344,he introduced the writing of english into a curriculum that had emphasized latin
/data/speech/WSJ/csr_2/wav/48wc031c.wav,142622,is this any way to run a railroad
/data/speech/WSJ/csr_1/wav/01co030j.wav,180752,the arbitrators decline to discuss the specifics of the case period
/data/speech/WSJ/csr_2/wav/475a010s.wav,215594,it is one of the earliest agricultural villages yet discovered in southwest asia
/data/speech/WSJ/csr_1/wav/02bo030d.wav,343558,here are price trends on the world's major stock markets comma as calculated by morgan stanley capital international perspective comma geneva period
/data/speech/WSJ/csr_2/wav/46gc040q.wav,161340,'quote there aren't any financial irregularities 'unquote he says
/data/speech/WSJ/csr_2/wav/4alc0218.wav,286058,previously he was president of cigna's property casualty group for five years and served as chief financial officer
/data/speech/WSJ/csr_1/wav/01eo030g.wav,315368,the highly popular and respected mister singh resigned three days after ordering an investigation into possible illegal kickbacks in the purchase of west german submarines period
/data/speech/WSJ/csr_1/wav/01rc0203.wav,170968,the way things have developed so far is probably better than might otherwise have happened
/data/speech/WSJ/csr_2/wav/4b4a010p.wav,176310,during the following years he tried unsuccessfully to get it into production
/data/speech/WSJ/csr_2/wav/48ic040g.wav,403260,the republic of austria may launch a long dated euroyen issue perhaps totaling eighty billion yen which is six hundred twenty two million
