wav_filename,wav_filesize,transcript
/data/speech/WSJ/csr_1/wav/023c0201.wav,916976,the delay is a victory albeit temporary for mister trump who owns two atlantic city casino hotels
/data/speech/WSJ/csr_1/wav/01no0304.wav,706180,exco comma a unit of british and ampersand commonwealth holdings p l c comma is one of the world's biggest brokers of interbank and foreign hyphen exchange deposits period
/data/speech/WSJ/csr_1/wav/40pc021a.wav,51466,that's what i'm here for
/data/speech/WSJ/csr_2/wav/48jc020o.wav,34652,general
/data/speech/WSJ/csr_2/wav/46zc0213.wav,592088,these mixed feelings of frustration with and gratitude toward the authorities are part of the everyday life of a foreigner doing business in korea
/data/speech/WSJ/csr_1/wav/018o030c.wav,617770,in response to consumers' complaints about the task of pasting in trading stamps comma sperry and ampersand hutchinson company is testing double quote electronic green stamps double quote in supermarkets in connecticut period
/data/speech/WSJ/csr_1/wav/20bc0105.wav,46764,that is dead wrong
/data/speech/WSJ/csr_1/wav/20ko010l.wav,594604,the problems comma he said comma are the traditional after hyphen summer double quote blues double quote in the local car market comma and the strong japanese yen period
/data/speech/WSJ/csr_1/wav/207c0103.wav,46124,that's an environment
/data/speech/WSJ/csr_2/wav/48qc030b.wav,40614,j p
/data/speech/WSJ/csr_2/wav/49hc020o.wav,50872,gen
/data/speech/WSJ/csr_2/wav/46ic040a.wav,53336,especially money
/data/speech/WSJ/csr_2/wav/46zc040t.wav,591168,maurice lippens chairman of belgium groupe a g who teamed up with suez for the generale de belgique struggle concurs
/data/speech/WSJ/csr_2/wav/46zc020c.wav,603700,the toy business is ripe for some marketing innovation after two years of relatively flat sales says rick anguilla editor of the toy and hobby world magazine
/data/speech/WSJ/csr_2/wav/46zc0201.wav,606092,i'm very nervous because my view on rates is so close to the consensus edward hyman of cyrus j lawrence incorporated says
/data/speech/WSJ/csr_2/wav/46lc0308.wav,48152,that is dead wrong
/data/speech/WSJ/csr_1/wav/01sc0219.wav,51438,that should help japan
/data/speech/WSJ/csr_2/wav/47gc020c.wav,52858,why not
/data/speech/WSJ/csr_2/wav/479c031a.wav,639040,britain's midland bank has announced plans for a number one billion credit line though some british banks may be getting cold feet about participating
/data/speech/WSJ/csr_1/wav/025o0316.wav,596714,for example comma advanced micro was slow to begin producing chips made with a fabrication technology called complementary metal hyphen oxide semiconductor comma or cmos period
/data/speech/WSJ/csr_2/wav/46zc0319.wav,619890,almost unnoticed in discussions of the procurement scandal is the fact that this elaborate indeed tortuous system seems to have worked at least on its own terms
/data/speech/WSJ/csr_1/wav/40lo030x.wav,591596,mccormick ampersand company of hunt valley comma maryland comma says women account for twenty nine percent of its sales force comma compared with fifteen percent in nineteen eighty five period
